OBJECTID *,Shape *,ObjectID *,FACNAME,ADDRESSNUM,STREETNAME,ADDRESS,CITY,ZIPCODE,FACTYPE,FACSUBGRP,FACGROUP,FACDOMAIN,SERVAREA,OPNAME,OPABBREV,OPTYPE,OVERAGENCY,OVERABBREV,OVERLEVEL,CAPACITY,CAPTYPE,BORO,BIN,BBL *,LATITUDE,LONGITUDE,XCOORD,YCOORD,CD,NTA2010,NTA2020,COUNCIL,CT2010,CT2020,BOROCODE,SCHOOLDIST,POLICEPRCT,DATASOURCE,UID,F38,F39
650,Point,941,AAA NORTHEAST,<Null>,54 STREET,58-70 54 STREET,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Aaa Northeast,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4059008,4026110158,40.717744,-73.915037,1007802.395,200781.5134,405,QN30,QN0501,30,53500,53502,4,24,104,dca_operatingbusinesses,d371b1916a18e5730243ad886b649515,<Null>,<Null>
651,Point,956,FINEST TOUCH MOTORSPORTS II INC,<Null>,157 STREET,106-24 157 STREET,JAMAICA,11433,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Finest Touch Motorsports Ii Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4215740,4101240015,40.697214,-73.797622,1040367.877,193355.1045,412,QN01,QN1202,28,25400,25401,4,28,103,dca_operatingbusinesses,d6942c3f35f456abb01e7b3f4f99cfab,<Null>,<Null>
652,Point,959,"ADIEL'S AUTO REPAIRS, INC.",<Null>,54 STREET,37-17 54 STREET,WOODSIDE,11377,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Adiel'S Auto Repairs, Inc.",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4027631,4012090037,40.750478,-73.907814,1009792.09,212709.4079,402,QN63,QN0203,26,25500,25500,4,30,108,dca_operatingbusinesses,d816c76c1e4b8ac1a1276e7a56bab7a3,<Null>,<Null>
653,Point,964,JAMAICA WATER POLLUTION CP,<Null>,134 STREET,150-20 134 STREET,SOUTH OZONE PARK,11420,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,<Null>,<Null>,QUEENS,<Null>,4119000075,40.664469,-73.810423,1036844.042,181417.2794,410,QN55,QN1001,28,84602,84602,4,27,106,dcp_colp,d98842280d2440bc8e6c5f3b6c2f12de,<Null>,<Null>
654,Point,972,JFK SKY PARK LLC,<Null>,134 STREET,149-13 134 STREET,JAMAICA,11430,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jfk Sky Park Llc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4620714,4200549999,40.66541,-73.805621,1038175.53,181762.8612,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,db2caedaa4044edd162aaaa71276f9eb,<Null>,<Null>
656,Point,981,"VIP AUTO RECOVERY, INC.",<Null>,48 STREET,55-10 48 STREET,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Vip Auto Recovery, Inc.",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4058888,4025500078,40.728802,-73.919931,1006441.875,204808.8014,402,QN31,QN0202,30,20500,20500,4,24,108,dca_operatingbusinesses,de995a114825a76b6e13dab5ac3de22d,<Null>,<Null>
657,Point,984,BIG CITY AUTO BODY & TOWING SERVICE CORP OF NY,<Null>,13 STREET,37-24 13 STREET,LONG ISLAND CITY,11101,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Big City Auto Body & Towing Service Corp Of Ny,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4004418,4003620031,40.758487,-73.939902,1000899.435,215619.8263,401,QN68,QN0105,26,4300,4300,4,30,114,dca_operatingbusinesses,df2cf1995fcdf65b5b3a66294d43226a,<Null>,<Null>
658,Point,985,SUPER FAST AUTOMOTIVE INC,<Null>,24 STREET,38-24 24 STREET,LONG ISLAND CITY,11101,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Super Fast Automotive Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4004732,4003890027,40.75569,-73.937416,1001588.905,214601.2421,401,QN68,QN0105,26,3300,3302,4,30,114,dca_operatingbusinesses,df4bcab4625fc410ad2736a88e9e23c7,<Null>,<Null>
659,Point,987,JIANS COLLISION CENTER INC,<Null>,LAUREL HILL BOULEVARD,58-16 LAUREL HILL BOULEVARD,WOODSIDE,11377,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jians Collision Center Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4054158,4023420014,40.73611,-73.908658,1009563.529,207474.5401,402,QN50,QN0203,30,24300,24300,4,24,108,dca_operatingbusinesses,dfe1fb19b9ed401f198d003572b09c10,<Null>,<Null>
660,Point,992,BLUE LINE TOWING INC,<Null>,150 STREET,105-18 150 STREET,JAMAICA,11435,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Blue Line Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,4100620027,40.696449,-73.801979,1039160.404,193073.5979,412,QN61,QN1201,28,20400,20400,4,28,103,dca_operatingbusinesses,e11c5276ea1e657f117963636c187f9a,<Null>,<Null>
661,Point,1005,BOLT PARKING LLC,<Null>,19 AVENUE,35-12 19 AVENUE,ASTORIA,11105,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Bolt Parking Llc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4533714,4008260035,40.779844,-73.90205,1011377.149,223410.3196,401,QN72,QN0101,22,10701,10701,4,30,114,dca_operatingbusinesses,e5931d8020b8228d111499431d929e26,<Null>,<Null>
663,Point,1010,3100 MP PARKING CORP,<Null>,47 AVENUE,31-00 47 AVENUE,LONG ISLAND CITY,11101,COMMERCIAL GARAGE,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,3100 Mp Parking Corp,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4003539,4002810001,40.742079,-73.935515,1002119.178,209642.6918,402,QN31,QN0202,26,19900,19902,4,24,108,dca_operatingbusinesses,e6485963488bb804315e7f3ec97348cc,<Null>,<Null>
664,Point,1011,198 BODY SHOP INC,<Null>,<Null>,<Null>,HOLLIS,11423,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,198 Body Shop Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,<Null>,40.70805,-73.778385,1045692,197316.0144,412,QN61,QN1201,27,44400,44400,4,29,103,dca_operatingbusinesses,e656cb74cf65ce76c7a93b45d66cd270,<Null>,<Null>
665,Point,1016,INDOOR PARKING 4 AIRPORT INC,<Null>,131 STREET,87-35 131 STREET,RICHMOND HILL,11418,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Indoor Parking 4 Airport Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4196339,4093390034,40.701386,-73.820892,1033912.023,194861.2349,409,QN54,QN0902,29,14202,14202,4,28,102,dca_operatingbusinesses,e8716b4481bc935659d736777ffe2a95,<Null>,<Null>
666,Point,1021,AARDWOLF PARKING LLC.,<Null>,<Null>,12820 152ND AVE,SOUTH OZONE PARK,11420,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Aardwolf Parking Llc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,<Null>,40.663995,-73.816419,1035181,181241.0144,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,ea858bfe06290a022d5c7adbfda11301,<Null>,<Null>
669,Point,1041,EMS TOWING INC.,<Null>,GUINZBERG ROAD,150-11 GUINZBERG ROAD,JAMAICA,11433,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Ems Towing Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4215661,4101100060,40.697688,-73.801697,1039237.492,193525.0797,412,QN61,QN1201,28,20400,20400,4,28,103,dca_operatingbusinesses,f32e3d986c85e318ae4465c26031bfae,<Null>,<Null>
671,Point,1043,AGENCY PARKING/SANITATION,<Null>,59 STREET,59-07 59 STREET,WOODSIDE,11377,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,<Null>,<Null>,QUEENS,<Null>,4023520022,40.734441,-73.906324,1010211.135,206867.1293,402,QN50,QN0203,30,24300,24300,4,24,108,dcp_colp,f4b3ca9e172ab5812b7bc935bc824d7c,<Null>,<Null>
674,Point,1062,KWICK TOWING & RECOVERY INC,<Null>,48 STREET,54-35 48 STREET,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Kwick Towing & Recovery Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437452,4025570080,40.72975,-73.918763,1006765.365,205154.5917,402,QN31,QN0202,30,20500,20500,4,24,108,dca_operatingbusinesses,fd888e0d9381a173f32fa325a07bc618,<Null>,<Null>
676,Point,1070,"PROPARK AMERICA NEW YORK, LLC",<Null>,131 STREET,149-16 131 STREET,JAMAICA,11430,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Propark America New York, Llc",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,4118847501,40.665855,-73.809659,1037055.003,181922.8167,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,fec1126a93e33cd131daf0dbfc722846,<Null>,<Null>
677,Point,1073,VANDAM PARKING INC,<Null>,VAN DAM STREET,47-11 VAN DAM STREET,LONG ISLAND CITY,11101,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Vandam Parking Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4003449,4002530017,40.742197,-73.93357,1002658.102,209686.0726,402,QN31,QN0202,26,19900,19901,4,24,108,dca_operatingbusinesses,ffc0cf4eaed56631a7fd01bf3504cb01,<Null>,<Null>
681,Point,12,JAMAICA AUTO BODY AND TOWING INC.,<Null>,168 STREET,93-30 168 STREET,JAMAICA,11433,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jamaica Auto Body And Towing Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4216254,4101560111,40.703779,-73.791643,1042020.186,195750.9347,412,QN61,QN1201,27,44400,44400,4,29,103,dca_operatingbusinesses,06f30a520b25380994c63c4c0d4fdd1c,<Null>,<Null>
685,Point,24,C & S TOWING INC,<Null>,37 AVENUE,57-02 37 AVENUE,WOODSIDE,11377,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,C & S Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4027654,4012120001,40.750126,-73.905181,1010521.629,212581.9212,402,QN63,QN0203,26,25700,25700,4,30,108,dca_operatingbusinesses,0aae9dd30fc65fe8ec71966e40485f0a,<Null>,<Null>
689,Point,48,JFK LONG TERM PARKING INC.,<Null>,SOUTH CONDUIT AVENUE,122-02 SOUTH CONDUIT AVENUE,SOUTH OZONE PARK,11420,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jfk Long Term Parking Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,4142600001,40.647938,-73.789279,1042724.546,175407.9669,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,11ef78cc4d41740497268596c7f2335b,<Null>,<Null>
691,Point,52,A&R COLLISION SPECIALISTS INC,<Null>,54 AVENUE,59-78 54 AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,A&R Collision Specialists Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437521,4026560086,40.728687,-73.906492,1010166.925,204770.6622,402,QN99,QN0271,30,22900,22900,4,24,108,dca_operatingbusinesses,126e7359ac74ff0e8773d7030cf2c635,<Null>,<Null>
694,Point,62,JFK AIRPORT,150,COMMISSARY ROAD,150 COMMISSARY ROAD,JAMAICA,11430,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,<Null>,<Null>,QUEENS,<Null>,4142600001,40.647938,-73.789277,1042725.02,175407.9983,483,QN98,QN8381,28,71600,71600,4,27,113,dcp_colp,14c7de287b0bac955a9f680694b9a21e,<Null>,<Null>
697,Point,68,LIC OPERATING 49 LLC,<Null>,30 PLACE,47-20 30 PLACE,LONG ISLAND CITY,11101,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Lic Operating 49 Llc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4436700,4002830001,40.741871,-73.93746,1001580.287,209566.2458,402,QN31,QN0202,26,19900,19902,4,24,108,dca_operatingbusinesses,16331375d10080d3b217534806c1248b,<Null>,<Null>
702,Point,89,V.M.A. IMPRESSIVE TOWING INC,<Null>,FLUSHING AVENUE,54-25 FLUSHING AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,V.M.A. Impressive Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4059053,4026290041,40.715681,-73.912905,1008394.192,200030.5638,405,QN30,QN0501,30,53500,53501,4,24,104,dca_operatingbusinesses,1b24db8cab7ecf6f301891511a360cf3,<Null>,<Null>
703,Point,93,ACTION AUTO COLLISION & TOWING INC,<Null>,GRAND AVENUE,58-73 GRAND AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Action Auto Collision & Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437547,4026800062,40.720377,-73.909305,1009390.179,201742.1874,405,QN30,QN0501,30,53100,53100,4,24,104,dca_operatingbusinesses,1cdb526954de5d6fb2bb60211c588162,<Null>,<Null>
706,Point,102,FDNY PARKING/FUTURE DEP MAINT,<Null>,49 STREET,57-15 49 STREET,MASPETH,11378,OUTDOOR PARKING,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Fire Department,FDNY,Public,NYC Fire Department,FDNY,City,<Null>,<Null>,QUEENS,<Null>,4025750026,40.724479,-73.918807,1006754.993,203234.2107,402,QN31,QN0501,30,21900,21900,4,24,108,dcp_colp,201672f7d6baa6b1e0a647f63e084093,<Null>,<Null>
708,Point,106,LAR WEN ASSOCIATES INC.,<Null>,BORDEN AVENUE,10-40 BORDEN AVENUE,LONG ISLAND CITY,11101,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Lar Wen Associates Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4000207,4000370025,40.740781,-73.952727,997349.9469,209166.6803,402,QN31,QN0201,26,100,104,4,30,108,dca_operatingbusinesses,2065bf0a8c175eeb7b182db3676866ed,<Null>,<Null>
709,Point,111,BEST WAY TOWING NYC INC,<Null>,48 STREET,54-35 48 STREET,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Best Way Towing Nyc Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437452,4025570080,40.72975,-73.918763,1006765.365,205154.5917,402,QN31,QN0202,30,20500,20500,4,24,108,dca_operatingbusinesses,22405d8a33ee84417411c9a5ad71da76,<Null>,<Null>
710,Point,112,FLEET SERVICES DIV PARKING,<Null>,54 AVENUE,59-64 54 AVENUE,MASPETH,11378,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Police Department,NYPD,Public,NYC Police Department,NYPD,City,<Null>,<Null>,QUEENS,<Null>,4026560075,40.729032,-73.907357,1009926.936,204896.1581,402,QN99,QN0271,30,22900,22900,4,24,108,dcp_colp,2247ed97857b2e6cbe5aeaa365784ce4,<Null>,<Null>
712,Point,128,1660 DECATUR PARKING INC,1660,DECATUR STREET,1660 DECATUR STREET,RIDGEWOOD,11385,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,1660 Decatur Parking Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4463523,4035560036,40.69565,-73.90019,1011927.214,192736.2138,405,QN20,QN0502,34,55900,55900,4,24,104,dca_operatingbusinesses,28fe09f44cef2f158c36ff17918a6909,<Null>,<Null>
713,Point,131,"PACHECO EMPIRE GROUP, INC",<Null>,22 STREET,37-16 22 STREET,LONG ISLAND CITY,11101,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Pacheco Empire Group, Inc",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4004425,4003640035,40.757942,-73.937642,1001525.668,215421.5907,401,QN68,QN0105,26,3300,3302,4,30,114,dca_operatingbusinesses,29522f6cf83c1dcc19b8ed24b81fa1bc,<Null>,<Null>
716,Point,146,"VIP AUTO BODY, INC.",<Null>,56 ROAD,44-03 56 ROAD,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Vip Auto Body, Inc.",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4620482,4025500475,40.72765,-73.924574,1005155.58,204388.1133,402,QN31,QN0202,30,20500,20500,4,24,108,dca_operatingbusinesses,2dd5afa6f6012591b8037eec2c8446cc,<Null>,<Null>
719,Point,189,COMPETITION AUTO WORKS INC,<Null>,42 STREET,18-67 42 STREET,ASTORIA,11105,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Competition Auto Works Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4430658,4007910007,40.777556,-73.897201,1012720.905,222578.2776,401,QN72,QN0101,22,12301,12301,4,30,114,dca_operatingbusinesses,39d388ec2b79e1fe420c9cb3ee2bb3e4,<Null>,<Null>
720,Point,190,"PROPARK AMERICA NEW YORK, LLC",<Null>,ROCKAWAY BOULEVARD,168-35 ROCKAWAY BOULEVARD,JAMAICA,11434,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Propark America New York, Llc",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4537941,4133660020,40.658988,-73.771782,1047569.301,179446.0059,413,QN03,QN1306,31,32000,32000,4,29,105,dca_operatingbusinesses,39db1eff3f25972c5bfd1dc0c0bad548,<Null>,<Null>
721,Point,192,N.Y. PLE INC,<Null>,STEINWAY STREET,18-41 STEINWAY STREET,ASTORIA,11105,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,N.Y. Ple Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4015685,4008020116,40.779187,-73.897877,1012533.029,223172.3208,401,QN72,QN0101,22,12301,12301,4,30,114,dca_operatingbusinesses,3ab74f2a167d9a28ece88d8d4087991d,<Null>,<Null>
724,Point,204,FLEET SERVICES PARKING,<Null>,BORDEN AVENUE,58-80 BORDEN AVENUE,MASPETH,11378,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Fire Department,FDNY,Public,NYC Fire Department,FDNY,City,<Null>,<Null>,QUEENS,4059717,4026570028,40.727772,-73.910317,1009107.013,204436.2473,402,QN31,QN0501,30,21900,21900,4,24,108,dcp_colp,3db6890e59091fc647c26c6e49a68ca3,<Null>,<Null>
730,Point,246,PHANTOM AUTO COLLISION INC.,<Null>,93 AVENUE,181-22 93 AVENUE,HOLLIS,11423,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Phantom Auto Collision Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4220083,4103220040,40.707793,-73.778421,1045682.269,197222.0863,412,QN61,QN1201,27,44400,44400,4,29,103,dca_operatingbusinesses,4926158e5b0ee36727934f534d01e881,<Null>,<Null>
739,Point,299,"LAZ PARKING NEW YORK/NEW JERSEY, LLC",<Null>,<Null>,1659 CENTRE ST,RIDGEWOOD,11385,COMMERCIAL GARAGE AND PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Laz Parking New York/New Jersey, Llc",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,<Null>,40.697533,-73.904256,1010799,193421.0144,405,QN20,QN0502,34,55500,55500,4,24,104,dca_operatingbusinesses,5463be58ffcc48bfc34bfc4054151d3b,<Null>,<Null>
740,Point,315,QUEENS PUBLIC LIBRARY,<Null>,155 STREET,145-57 155 STREET,JAMAICA,11434,OUTDOOR PARKING - EMPLOYEES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,Queens Public Library,QPL,Public,Queens Public Library,QPL,City,<Null>,<Null>,QUEENS,<Null>,4150100049,40.664343,-73.782878,1044485.906,181389.1139,413,QN03,QN1306,31,30600,30600,4,29,105,dcp_colp,571e2c5ae17c126cd7afe48e46c9044f,<Null>,<Null>
742,Point,322,"PINILLA, GEORGE",<Null>,LIBERTY AVENUE,150-16 LIBERTY AVENUE,JAMAICA,11433,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Pinilla, George",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4215659,4101100012,40.69793,-73.801656,1039248.692,193613.4718,412,QN61,QN1201,28,20400,20400,4,28,103,dca_operatingbusinesses,59419cf6ce3298a4de8fa907c1c7b87f,<Null>,<Null>
744,Point,330,FLEET SERVICES PARKING,<Null>,BORDEN AVENUE,58-80 BORDEN AVENUE,MASPETH,11378,OUTDOOR PARKING,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Fire Department,FDNY,Public,NYC Fire Department,FDNY,City,<Null>,<Null>,QUEENS,4059717,4026570028,40.727772,-73.910317,1009107.013,204436.2473,402,QN31,QN0501,30,21900,21900,4,24,108,dcp_colp,5bf41afa1beed00ed31db988ddc5358b,<Null>,<Null>
747,Point,390,"PROPARK AMERICA NEW YORK, LLC",<Null>,SOUTH CONDUIT AVENUE,130-24 SOUTH CONDUIT AVENUE,SOUTH OZONE PARK,11420,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,"Propark America New York, Llc",Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4464063,4118847501,40.665936,-73.809478,1037104.927,181952.2464,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,6227ca64df1724d184554087cfda7531,<Null>,<Null>
753,Point,419,KWIK AUTOMOTIVE LLC,<Null>,48 STREET,54-35 48 STREET,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Kwik Automotive Llc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437452,4025570080,40.72975,-73.918763,1006765.365,205154.5917,402,QN31,QN0202,30,20500,20500,4,24,108,dca_operatingbusinesses,66adea05fbbbf7791a93221d623d54d1,<Null>,<Null>
